Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2016-01-31","3,397","15,043","7.06","43","486","243","121","31","2,062"
"2016-03-01","2,799","9,682","4.54","28","683","273","10","8","1,309"
"2016-03-02","3,401","16,197","8.15","82","647","234","19","64","1,901"
"2016-03-03","2,670","7,546","3.54","42","659","277","0","0","1,165"
"2016-03-04","3,157","13,259","7.02","22","734","160","5","63","1,553"
"2016-03-05","2,884","8,812","4.13","28","494","310","17","4","1,462"
"2016-03-06","3,458","16,171","7.59","39","361","326","87","29","2,186"
"2016-03-07","3,193","13,542","6.87","26","715","266","4","38","1,658"
"2016-03-08","2,937","8,016","3.76","15","740","247","28","9","1,399"
"2016-03-09","3,083","11,357","5.83","15","740","211","20","43","1,541"
"2016-03-10","2,826","8,073","3.79","17","711","286","15","3","1,327"
"2016-03-11","3,447","16,089","8.41","62","774","268","21","60","1,984"
"2016-03-12","3,311","11,335","5.32","54","554","381","27","12","1,911"
"2016-03-13","2,826","9,036","4.24","32","538","247","39","2","1,327"
"2016-03-14","3,374","16,653","8.42","26","642","238","14","64","1,867"
"2016-03-15","2,907","10,967","5.15","25","691","262","20","19","1,421"
"2016-03-16","3,050","11,210","5.71","37","820","176","19","48","1,488"
"2016-03-17","3,269","16,381","7.71","49","617","218","29","85","1,799"
"2016-03-18","3,576","18,334","9.52","35","672","225","27","88","2,108"
"2016-03-19","2,706","9,094","4.27","22","606","241","23","17","1,219"
"2016-03-20","3,038","10,494","4.92","24","462","315","38","4","1,603"
"2016-03-21","2,961","11,277","5.89","18","775","195","9","38","1,372"
"2016-03-22","2,721","7,828","3.67","14","699","287","0","0","1,196"
"2016-03-23","3,158","12,470","6.41","23","690","259","2","36","1,619"
"2016-03-24","2,953","11,231","5.45","27","664","257","27","20","1,445"
"2016-03-25","3,373","16,339","8.56","22","831","234","10","59","1,818"
"2016-03-26","1,871","600","0.28","0","938","34","0","0","128"
"2016-03-27","3,085","9,017","4.23","16","597","297","29","12","1,626"
"2016-03-28","2,146","3,076","1.44","0","1,279","75","5","11","419"
"2016-03-29","3,276","13,780","6.95","34","740","256","34","45","1,825"
"2016-03-30","3,046","12,383","6.28","21","700","172","13","57","1,468"
"2016-03-31","2,834","9,872","4.72","42","652","233","16","24","1,322"
"2016-05-01","3,065","11,217","5.26","34","451","342","23","6","1,687"
